CASEID,MARITAL,B1AGE,AGEDISP,RACER,SEX_N,AGE_N,RACE_N,HSPNC_N,OTHERR_N,EDU_N,JOB1_N,JOB2_N,JOB3_N,JOB4_N,PHOUR_N,VHOUR_N,STDNT_N,SAMESEX,C1SITUAT,PARTNERS,PABUSE,ABUSENP,RELANAME,RELAEXFO,LENGTHTO,LENGTHON,LENGTH4,CHNGE_N,CODE1_N,DATE1_N,CODE2_N,DATE2_N,CODE3_N,DATE3_N,LIVE_N,LIVEWITH,LIVEWR,LIVNEVER,LIVALLYR,NOHOME,APART_N,APARTR,APART3,REASON1,REASON2,REASON3,REASON4,CHILDR,RETRN_N,REASONR1,REASONR2,REASONR3,REASONR4,REASONR5,CHILDCB,L28KIDSN,KIDSNUM,FOSTER_N,KIDLIV_N,KIDIV2_N,DECEASED,STDETAI,STEPCHIL
118182,  1,26,  1,9,  1, 30,  1,1,1,  5,  8,9999,9999,9999, 999,9999,777,0,1,1,1,0,  5,  0,  4,2,4,   2,9999, 1,9999, 1,9999,1,  2,  0,0,  0,  0,  2,  4,  0,0, 999,9999,9999,9999,0,9999,9999,9999,9999,9999,9999,0,  1,  1,9999,   1,9999,0,  1,  1
118183,  4,25,  1,1,  1, 29,  1,1,1,  3,  2,9999,9999,9999,9999,9999,777,0,3,2,1,0,  2,  1,  5,2,4,   2,9999, 1,9999, 1,9999,1,  2,  0,0,  0,  0,  2,  1,  1,0,   1,9999,9999,9999,0,   1,   3,   5,  10,9999,9999,1,  1,  2,9999,   1,9999,0,  5,  2
118192,  1,25,  1,1,  1, 28,  1,1,1,  3, 14,9999,9999,9999, 999,9999,777,0,1,1,1,0,  6,  1,  1,1,1,   2,9999, 1,9999, 1,9999,1,  2,  0,0,  0,  0,  2,  1,  1,0,  11,9999,9999,9999,0,   2,9999,9999,9999,9999,9999,0,  3,999,9999, 777,9999,0,  2,  2
118193,  1,30,  1,1,  1, 32,  1,1,1,  4,  2,9999,9999,9999, 999,9999,777,0,1,1,1,0,  6,  1,  5,2,4, 888,9999, 1,9999, 1,9999,1,  4,  0,0,  0,  0,  2,  1,  1,0,  11,9999,9999,9999,0,   2,9999,9999,9999,9999,9999,0,  1,  2,9999,   1,9999,0,  5,  2
118341,  5,33,  1,1,  1, 35,  1,1,1,  3,  5,  15,9999,9999, 999,9999,777,0,1,1,1,0,  5,  0,  3,2,3,   1,  17, 7,9999, 1,9999,1,  2,  0,0,  0,  0,  2,  1,  1,0,   1,9999,9999,9999,0,   1,   1,  12,9999,9999,9999,0,  3,999,9999, 777,9999,0,  1,  1
118458,  2,39,  1,3,  1, 43,  1,1,1,  5,  9,9999,9999,9999,9999,9999,777,0,4,2,2,0,  4,  1,  5,2,4,   1,  12,19,9999, 1,9999,1,  5,  2,0,  1,  0,  2,  2,  1,0,   1,9999,9999,9999,0,   2,9999,9999,9999,9999,9999,0,  1,  2,9999,  10,9999,0,  2,  2
118520,  4,36,  2,1,  1, 30,  1,1,1,  2,  2,9999,9999,9999,9999,9999,777,0,3,2,1,0,  2,  1,  5,2,4, 888,9999, 1,9999, 1,9999,1,  2,  1,1,  0,  0,  2,  2,  1,0,   1,9999,9999,9999,0,   2,9999,9999,9999,9999,9999,0,  3,999,9999,9999,9999,0,  2,  2
138068,  2,38,  1,1,  1, 34,  1,1,1,  5,  2,9999,9999,9999, 999,9999,777,0,1,1,1,0,  2,  1,  5,2,4,   2,9999, 1,9999, 1,9999,1,  2,  0,0,  0,  0,  2,  2,  1,0,   6,9999,9999,9999,0,   2,9999,9999,9999,9999,9999,0,  3,999,9999, 777,9999,0,  1,  1
148059,  1,30,  2,1,  1, 23,  1,1,1,  4,  2,9999,9999,9999,9999,9999,777,0,3,2,1,0,  6,  1,  1,1,1,   2,9999, 1,9999, 1,9999,1,  5,  0,0,  1,  0,  2,  1,  1,0,   7,9999,9999,9999,0,   2,9999,9999,9999,9999,9999,0,  3,999,9999,9999,9999,0,  1,  1
148092,  1,18,  1,1,  1, 18,  1,1,1,888,  8,9999,9999,9999, 999,9999,777,0,1,1,1,0,  5,  0,  2,2,2,   1,   8, 1,9999, 1,9999,1,  2,  0,0,  0,  0,  2,  1,  1,0,   6,9999,9999,9999,0,   2,9999,9999,9999,9999,9999,0,  3,999,9999, 777,9999,0,  2,  2
148099,  1,27,  2,1,  1, 18,  1,1,1,  3,  8,9999,9999,9999, 999,9999,777,0,1,1,1,0,  9,  0,  1,1,1,   2,9999, 1,9999, 1,9999,1,  5,  0,0,  1,  0,  2,  4,  0,0, 999,9999,9999,9999,0,9999,9999,9999,9999,9999,9999,0,  3,999,9999, 777,9999,0,  1,  1
148100,  1,18,  4,1,  1, 24,  1,1,1,  4,  1,9999,9999,9999, 999,9999,777,0,1,1,1,0,  5,  0,  2,2,2,   2,9999, 1,9999, 1,9999,1,  5,  0,0,  1,  0,  2,  4,  0,0, 999,9999,9999,9999,0,9999,9999,9999,9999,9999,9999,0,  3,999,9999, 777,9999,0,  2,  2
