CASEID,INVIEWN,RACER,SAMESEXR,N14SUHER,N20OTHER,N11DRUGS,N12ALCHL,N13SUHIM,N15HOME,N16CHILD,N17ARRST,N18CHRGE,N18CHRG2,N18CHRG3,N18CHRG4,N1FRQNCY,N2SVRITY,N3WEAPON,N4CHOKE,N5SEX,N6CONTRL,N7PREGNT,N8JEALUS,N9KILL,N10CPBLE
138068,1,1,9999,  1,   1,  1,  1,  2,  2,  2,  1,   2,9999,9999,9999,999,999, 999, 999, 999,999,999,999, 999, 999
139403,1,1,9999,  2,   2,  2,  2,  2,  2,  2,  2,9999,9999,9999,9999,  3,  3,   3,   3,   3,  3,  9,  3,   3,   3
148059,1,1,9999,  2,   2,  1,  1,  2,  2,  2,  1,   4,9999,9999,9999,  1,  1,   2,   1,   1,  1,  2,  1,   2,   2
148092,1,1,9999,  2,   2,  2,  2,  2,  2,  2,  1,   1,9999,9999,9999,  2,  2,   2,   1,   1,  1,  2,  1,   2,   1
148099,1,1,9999,  1,   1,  2,  1,  2,  2,  2,  1, 888,9999,9999,9999,  2,  2,   1,   1,   1,  2,  2,  1,   2,   1
148100,1,1,9999,  2,   2,  2,  2,  2,  2,  2,  1,   4,9999,9999,9999,  2,  2,   2,   2,   2,  2,  2,  2,   2,   2
148106,1,1,9999,  2,   2,  2,  2,  1,  2,  2,  2,9999,9999,9999,9999,  2,  2,   1,   1,   2,  1,  2,  1,   1,   2
148107,1,1,9999,  2,   1,  2,  1,  2,  1,  2,  1,   1,9999,9999,9999,  1,  2,   2,   1,   1,  1,  2,  1,   1,   1
148108,1,1,9999,  2,   2,  2,  1,  2,  1,  2,  1, 888,9999,9999,9999,  2,  2,   2,   1,   1,  1,  2,  1,   1,   1
148109,1,1,9999,  1,   2,  2,  2,  2,888,  2,  1,   5,9999,9999,9999,  1,  1,   2,   1,   2,  1,  2,  1,   2,   1
148110,1,1,9999,  2,   2,  2,  2,  2,  2,  2,  2,9999,9999,9999,9999,  2,  2,   2,   2,   2,  2,  2,  2,   2, 888
148111,1,1,9999,  2,   2,  2,  2,  2,  2,  2,  2,9999,9999,9999,9999,  2,  2,   2,   1,   1,  2,  2,  2,   2,   2
148113,1,1,9999,  2,   2,  1,888,  1,  2,  2,  1,   4,9999,9999,9999,  1,  2,   1,   1,   1,  1,  2,  1,   1, 888
148115,1,1,9999,  2,   2,  1,  2,  2,  1,  2,  1,   1,   8,9999,9999,  1,  1,   2,   1,   1,  2,  2,  1,   2,   1
148118,1,1,9999,  2,   2,  1,  2,  1,  2,  2,888,9999,9999,9999,9999,  1,  2,   1,   1,   1,  1,  2,  1,   2,   1
148119,1,1,9999,  2,   1,  2,  1,  1,  2,  2,  1,   1,9999,9999,9999,  2,  2,   2,   2,   2,  2,  2,  2,   2,   1
148120,1,1,9999,  2,   1,  2,  2,  2,  2,  2,  1,   2,9999,9999,9999,  2,  2,   2,   1,   2,  1,  2,  2,   1,   2
148122,1,9,9999,  2,   1,  2,  2,  2,  2,  2,  2,9999,9999,9999,9999,  2,  2,   2,   2,   2,  2,  2,  2,   2,   1
148156,1,1,   1,  1,   1,  2,  2,  2,  2,  2,  2,9999,9999,9999,9999,  2,  2,   2,   2,   1,  1,  2,  2,   2,   2
148164,1,1,9999,  2,   2,  1,  1,  2,  2,  2,  1,   1,9999,9999,9999,  2,  1,   1,   1,   2,  1,  2,  1,   1,   1
148204,1,1,9999,  2,   1,  1,  1,  2,  1,  2,  1,   4,9999,9999,9999,  1,  1,   1,   1,   2,  1,  1,  1,   1,   2
148205,1,1,9999,  2,   2,  2,  2,  2,  1,  2,  1,   2,9999,9999,9999,  2,  2,   1,   2,   2,  2,  3,  1,   1,   2
148209,1,1,9999,  2,   1,  2,  2,  2,  1,  2,  1,  13,   5,   8,9999,  2,  2,   2,   2,   2,  2,  2,  2,   1,   2
148210,1,1,9999,  2,   1,  2,  2,  1,  1,  2,  1,   2,9999,9999,9999,  2,  2,   2,   1,   1,  1,  1,  1,   1,   2
148241,1,1,9999,  2,   1,  2,  2,  1,  1,  2,  1,   5,9999,9999,9999,  1,  2,   2,   1,   2,  1,  1,  1,   2,   1
148242,1,1,9999,  2,   2,  2,  2,  2,  1,  2,  1, 888,9999,9999,9999,  2,  2,   2,   1,   2,  1,  2,  1,   1,   2
148245,1,1,9999,  2,   2,  2,  2,  2,  2,  2,  2,9999,9999,9999,9999,  1,  1,   2,   2,   2,  1,  2,  2,   2,   2
148247,1,1,9999,  2,   2,  2,  2,  2,  1,  2,  1,   8,  16,9999,9999,  1,  1,   1,   1,   1,  1,  1,  1,   1,   1
148344,1,1,9999,  2,   2,  1,  1,  2,  2,  2,  2,9999,9999,9999,9999,  2,  2,   2,   2,   2,  2,  2,  2,   2,   1
148345,1,1,9999,  2,   2,  2,  2,  2,  2,  2,888,9999,9999,9999,9999,  2,  2,   2,   2,   2,  1,  3,  2,   2,   2
148350,1,1,9999,  1,   2,  2,  1,  2,  1,  2,  1,   1, 888,9999,9999,  2,  2,   2,   1,   2,  1,  3,  2,   2,   2
148351,1,1,9999,  2,   2,  2,  1,  2,  2,  2,  1,   6,9999,9999,9999,  2,  2,   1,   2,   2,  2,  3,  2,   2,   2
148402,1,1,9999,  2,   2,  2,  2,  2,  2,  2,  2,9999,9999,9999,9999,  2,  2,   2,   1,   2,  1,  3,  1,   2,   2
148459,1,1,9999,999, 999,999,999,999,999,999,999,9999,9999,9999,9999,999,999, 999, 999, 999,999,999,999, 999, 999
148521,1,1,9999,  2,   2,  2,  2,  2,  2,  2,  2,9999,9999,9999,9999,  2,  2,   2,   2,   2,  2,  3,  2,   2,   2
148559,1,1,9999,  2, 999,  2,  2,  2,  2,  2,  1,  10,9999,9999,9999,  2,  2,   2,   2,   2,  1,  3,  2,   2,   2
148560,1,1,9999,  1,   1,  2,  2,  2,  2,  2,  1,   1,   8,9999,9999,  2,  2,   1,   1,   1,  1,  2,  1,   1,   1
148611,1,1,9999,  2,   2,  2,  2,  2,  2,  2,  2,9999,9999,9999,9999,  2,  2,   2,   1,   2,  2,  2,  2,   2,   2
148614,1,1,9999,  2,   2,  2,  2,  2,  2,  2,  2,9999,9999,9999,9999,  1,  2,   2,   2,   1,  2,  3,  2,   2,   2
149070,1,1,9999,  2,   2,  2,  2,  2,  2,  2,  2,9999,9999,9999,9999,  3,  3,   3,   3,   3,  3,  9,  3,   3,   3
149073,1,1,9999,  2,   1,  2,  2,  2,  2,  2,  2,9999,9999,9999,9999,  3,  3,   3,   3,   3,  3,  9,  3,   3,   3
149074,1,1,9999,  2,   2,  2,  2,  2,  2,  2,  2,9999,9999,9999,9999,  3,  3,   3,   3,   3,  3,  9,  3,   3,   3
149112,1,1,9999,  1, 999,  2,  2,  1,  2,  2,  1,   4,9999,9999,9999,  3,  3,   3,   3,   3,  3,  9,  3,   3,   3
149114,1,1,9999,  2,   2,  2,  1,  2,  2,  2,  1,   4,9999,9999,9999,  3,  3,   3,   3,   3,  3,  9,  3,   3,   3
149116,1,1,9999,  2,   2,  2,  2,  2,  2,  2,  2,9999,9999,9999,9999,  3,  3,   3,   3,   3,  3,  9,  3,   3,   3
149155,1,1,9999,  2,   2,  2,  2,  2,  2,  2,  2,9999,9999,9999,9999,  3,  3,   3,   3,   3,  3,  9,  3,   3,   3
149173,1,1,9999,  2,   2,  2,  2,  2,  2,  2,  1,   8,9999,9999,9999,  3,  3,   3,   3,   3,  3,  9,  3,   3,   3
149246,1,1,9999,  2,   1,  1,  1,  1,  2,  2,  2,9999,9999,9999,9999,  3,  3,   3,   3,   3,  3,  9,  3,   3,   3
149333,1,1,9999,  2,   1,  2,  2,  2,  2,  2,  2,9999,9999,9999,9999,  3,  3,   3,   3,   3,  3,  9,  3,   3,   3
149334,1,1,9999,  2,   2,  2,  2,  2,  2,  2,  2,9999,9999,9999,9999,  3,  3,   3,   3,   3,  3,  9,  3,   3,   3
149401,1,1,9999,  2,   1,  2,  1,  2,  2,  2,  1,   2,9999,9999,9999,  3,  3,   3,   3,   3,  3,  9,  3,   3,   3
149626,1,1,9999,  2,   1,  2,  2,  2,  2,  2,  1, 888,9999,9999,9999,  3,  3,   3,   3,   3,  3,  9,  3,   3,   3
158095,1,1,9999,  2,   1,  1,  1,  2,  2,  2,  1,   2,9999,9999,9999,  2,  2,   2,   2,   2,  2,  2,  2,   2,   2
158522,1,1,9999,  2,   2,  2,  2,  2,  1,  2,  1,  13,   5,9999,9999,  2,  2,   1,   1,   1,  1,  3,  1,   2,   2
158523,1,1,9999,  1,   2,  2,  1,  2,  1,  2,  1,   5,9999,9999,9999,  2,  2,   2,   2,   1,  1,  2,  1,   2,   1
158561,1,1,9999,  1,   2,  1,  1,  1,  2,  2,  1,   8,9999,9999,9999,  1,  1,   1,   1,   2,  1,  2,  1,   1,   1
158625,1,1,9999,  2,   2,  2,  2,  2,  2,  2,  2,9999,9999,9999,9999,  2,  1,   2,   1,   2,  1,  3,  1,   2,   2
159050,1,1,9999,  2,   2,  2,  2,  2,  2,  2,  2,9999,9999,9999,9999,  3,  3,   3,   3,   3,  3,  9,  3,   3,   3
159399,1,1,9999,  2,   1,  1,  2,888,  2,  2,  2,9999,9999,9999,9999,  3,  3,   3,   3,   3,  3,  9,  3,   3,   3
168071,1,1,9999,  1,   2,  2,  2,  1,  1,  2,  1, 888,9999,9999,9999,  1,  2,   1,   1,   2,  1,  1,  1,   1,   1
168072,1,1,9999,  1,   1,  2,  2,  1,  2,  2,  2,9999,9999,9999,9999,  2,  2,   2,   1,   1,  2,  2,  2,   2, 888
168091,1,1,9999,  2,   2,  2,  2,  2,  2,  2,  2,9999,9999,9999,9999,  2,  2,   2,   2,   2,  2,  2,  2,   2,   2
168105,1,1,9999,  2,   1,  2,  1,  1,  2,  2,  1, 888,9999,9999,9999,  2,  2,   2,   2,   2,  2,  2,  2,   2,   2
168121,1,1,9999,  2, 999,  2,  1,  2,  1,  2,  1,   4,9999,9999,9999,  2,  2,   2,   1,   2,  2,  2,  2,   2,   1
168123,1,1,9999,  2,   2,  2,  2,  2,  2,  2,  2,9999,9999,9999,9999,  2,  2,   2,   2,   2,  2,  2,  2,   2,   2
168202,1,9,9999,  2,   2,  2,  2,  1,  1,  2,  1,   2,9999,9999,9999,  2,  2,   2,   2, 888,  1,  1,  2,   2,   1
168237,1,1,9999,  2,   1,  2,  1,  2,  2,  2,  1, 888,9999,9999,9999,  2,  2,   2,   2,   2,  2,  3,  2,   2,   2
168238,1,1,9999,  2,   1,  2,  2,  2,  2,  2,  1,   2,9999,9999,9999,  2,  2,   2,   2,   2,  2,  2,  2,   2,   1
