CASEID,INVIEWN,B1AGE,AGER,AGERR,B2EDU,HIGHSCHL,B3EMPLY1,B3EMPLY2,B3EMPLY3,B3EMPLY4,EMPLOYR,UNEMPLOY,HOMEMAKR,B3HOURS,B3VHOUR,B3STUDNT,B4CHANGE,B5CODE1,B5DATE1,B5CODE2,B5DATE2,B5CODE3,B5DATE3,B6RACE,RACER,B6HSPNIC,B6OTHER,B7BIRTH,B7PLACE,B7PLACER,F14CHICG,B8MARITL,MARRIED,SINGLE,SCRSTAT,SCRSTATR,FINSTAT,FINSTATR,ABUSED,CHNGSTAT,CHGTONAW,NAWYEAR,RELAC1,LENGTHC1,C1SITUAT,PARTNERS,PABUSE,SPANISH1,INMONTH,INYEAR,INDAY
148122,1,26,3,1,  5,  1,  2,   7,9999,9999,1,0,0,9999,99,   1,  1,   5,26,9999, 1,9999, 1,  7,9,1,10,  1, 30,  2,  3,  1,  0,  1,  2,  2, 1,1,1,2,99,99,  5,3,1,1,1,2,10,1997,27
148156,1,32,4,2,  8,  1,  3,   7,9999,9999,1,0,0,  25,99,   1,  1,  10, 5,   3, 4,9999, 1,  1,1,1, 1,  1, 19,  1,  1,  1,  0,  1,  1,  1, 1,1,1,1,99,99,  7,2,1,1,1,2,11,1997, 3
148164,1,20,1,1,  3,  0,  2,9999,9999,9999,1,0,0,9999,99,9999,  2,9999, 1,9999, 1,9999, 1,  1,1,1, 1,  1, 19,  1,  1,  1,  0,  1,  1,  1, 1,1,1,1,99,99,  6,1,1,1,1,2,10,1997,29
148204,1,22,2,1,  5,  1,  2,   7,9999,9999,1,0,0,   5,99,   2,  1,   7,26,9999, 1,9999, 1,  1,1,1, 1,  1, 19,  1,  2,  1,  0,  1,  1,  1, 1,1,1,1,99,99,  5,2,1,1,1,2,11,1997,25
148205,1,18,1,1,  3,  0,  3,   7,9999,9999,1,0,0,  30,99,   2,  1,   1,16,9999, 1,9999, 1,  1,1,1, 1,  1, 19,  1,  1,  1,  0,  1,  2,  2, 1,1,1,2,99,99,  5,1,3,2,1,2,11,1997,25
148209,1,18,1,1,  4,  1,  2,9999,9999,9999,1,0,0,9999,99,9999,  1,   8,16,9999, 1,9999, 1,  1,1,1, 1,  1, 19,  1,  1,  1,  0,  1,  1,  1, 1,1,1,1,99,99,  5,3,3,2,1,2,12,1997, 1
148210,1,18,1,1,  3,  0,  9,9999,9999,9999,4,1,0,9999,99,9999,  2,9999, 1,9999, 1,9999, 1,  1,1,1, 1,  1, 19,  1,  1,  1,  0,  1,  1,  1, 1,1,1,1,99,99,  5,2,1,1,1,2,12,1997, 1
148241,1,18,1,1,  3,  0,  9,9999,9999,9999,4,1,0,9999,99,9999,  1,   7,11,   2,16,9999, 1,  1,1,1, 1,  1, 19,  1,  2,  1,  0,  1,  1,  1, 1,1,1,1,99,99,  5,4,1,1,1,2,12,1997, 9
148242,1,18,1,1,  3,  0,  7,9999,9999,9999,3,0,0,9999,99,   2,  1,   7,26,9999, 1,9999, 1,  1,1,1, 1,  1, 19,  1,  1,  1,  0,  1,  1,  1, 1,1,1,1,99,99,  5,1,3,2,1,2,12,1997, 9
148245,1,25,2,1,  3,  0,  3,9999,9999,9999,1,0,0,  25,99,9999,  1,   1, 5,9999, 1,9999, 1,  1,1,1, 1,  1, 19,  1,  1,  1,  0,  1,  3,  3, 1,1,1,2,99,99,  6,2,1,1,1,2,12,1997,11
148247,1,21,2,1,  5,  1,  7,9999,9999,9999,3,0,0,9999,99,   1,  2,9999, 1,9999, 1,9999, 1,  1,1,1, 1,  1, 19,  1,  2,  1,  0,  1,  1,  1, 1,1,1,1,99,99,  5,4,1,1,1,2,12,1997,15
148344,1,34,4,2,  5,  1,  3,9999,9999,9999,1,0,0,  24,99,9999,  1,9999, 1,9999, 1,9999, 1,  1,1,1, 1,  1, 19,  1,  1,  1,  0,  1,  1,  1, 1,1,1,1,99,99,  5,3,2,3,3,2, 1,1998,14
148345,1,33,4,2,  5,  1,  2,9999,9999,9999,1,0,0,9999,99,9999,  2,9999, 1,9999, 1,9999, 1,  1,1,1, 1,  1, 19,  1,  1,  1,  0,  1,  1,  1, 1,1,1,1,99,99,  5,2,3,2,1,2, 1,1998,15
148350,1,20,1,1,  3,  0,  9,9999,9999,9999,4,1,0,9999,99,9999,  2,9999, 1,9999, 1,9999, 1,  1,1,1, 1,  1, 19,  1,  1,  1,  0,  1,  1,  1, 1,1,1,1,99,99,  6,4,1,1,1,2, 1,1998,20
