CASEID,G1NUMBER,H1JEALUS,H2LIMIT,H3KNOWNG,J1HIT,J2THROWN,J3PUSH,J4SLAP,J5KICK,J6OBJECT,J7BEAT,J8CHOKE,J9KNIFE,J10GUN,J11SEX,POWER,HARASS,B1AGE,AGEDISP,STDETAI,SAMESEXR,N11DRUGS,N12ALCHL,N13SUHIM,N16CHILD,N17ARRST,N1FRQNCY,N2SVRITY,N3WEAPON,N4CHOKE,N5SEX,N6CONTRL,N8JEALUS,N10CPBLE
119194,9999,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,1,40,5,1,9999,2,2,2,2,2,3,3,3,3,3,3,3,3
119208,9999,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,39,1,1,9999,2,2,2,2,2,3,3,3,3,3,3,3,3
129052,999,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,1,18,1,2,9999,2,2,2,2,1,3,3,3,3,3,3,3,3
129053,9999,1,2,1,2,2,2,2,2,2,2,2,2,2,2,3,2,22,1,2,9999,2,2,2,2,1,3,3,3,3,3,3,3,3
129117,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,21,1,5,9999,2,2,2,2,1,3,3,3,3,3,3,3,3
138068,9999,1,1,1,1,2,2,2,2,2,2,2,2,2,2,5,6,38,1,1,9999,1,1,2,2,1,999,999,999,999,999,999,999,999
139403,9999,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,0,36,1,5,9999,2,2,2,2,2,3,3,3,3,3,3,3,3
148059,9999,1,1,1,1,2,1,1,1,2,1,2,2,2,1,4,6,30,2,1,9999,1,1,2,2,1,1,1,2,1,1,1,1,2
148092,1,1,1,1,1,2,1,2,1,2,1,1,2,2,1,4,2,18,1,2,9999,2,2,2,2,1,2,2,2,1,1,1,1,1
148099,9999,2,2,1,1,1,2,1,2,1,2,2,2,2,2,2,4,27,2,1,9999,2,1,2,2,1,2,2,1,1,1,2,1,1
148100,9999,1,2,2,1,1,1,1,2,2,1,2,2,2,2,1,3,18,4,2,9999,2,2,2,2,1,2,2,2,2,2,2,2,2
148106,9999,1,1,1,1,2,1,1,2,2,1,1,2,1,2,4,6,21,1,5,9999,2,2,1,2,2,2,2,1,1,2,1,1,2
148107,9999,1,1,1,1,1,1,1,1,1,1,1,2,2,1,5,10,32,5,2,9999,2,1,2,2,1,1,2,2,1,1,1,1,1
148108,9999,1,2,1,1,2,1,1,1,2,1,1,2,2,1,3,4,35,1,2,9999,2,1,2,2,1,2,2,2,1,1,1,1,1
148109,9999,1,1,1,1,1,1,1,1,2,1,1,2,2,2,3,4,20,1,5,9999,2,2,2,2,1,1,1,2,1,2,1,1,1
148110,9999,2,2,1,2,2,1,2,2,2,2,2,2,2,2,1,4,32,1,1,9999,2,2,2,2,2,2,2,2,2,2,2,2,888
148111,9999,1,1,2,2,2,1,2,2,2,2,1,2,2,2,3,0,27,1,5,9999,2,2,2,2,2,2,2,2,1,1,2,2,2
148113,9999,1,1,1,1,1,1,1,1,2,1,1,1,2,1,5,8,27,4,5,9999,1,888,1,2,1,1,2,1,1,1,1,1,888
148115,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,4,6,31,4,2,9999,1,2,2,2,1,1,1,2,1,1,2,1,1
148118,9999,1,1,1,1,2,1,1,1,2,1,1,1,1,1,4,8,36,1,1,9999,1,2,1,2,888,1,2,1,1,1,1,1,1
148119,9999,1,1,1,2,2,1,2,2,2,2,2,2,2,2,4,3,39,1,1,9999,2,1,1,2,1,2,2,2,2,2,2,2,1
148120,9999,1,2,1,1,2,1,2,2,2,2,2,2,2,2,3,3,19,4,1,9999,2,2,2,2,1,2,2,2,1,2,1,2,2
148122,9999,2,2,2,2,2,1,2,2,2,2,2,2,2,2,0,3,26,1,2,9999,2,2,2,2,2,2,2,2,2,2,2,2,1
148156,999,1,2,1,2,2,2,2,2,1,2,2,2,2,2,3,8,32,1,2,1,2,2,2,2,2,2,2,2,2,1,1,2,2
148164,9999,1,2,1,1,1,1,1,2,1,1,1,1,2,2,2,6,20,4,1,9999,1,1,2,2,1,2,1,1,1,2,1,1,1
148204,999,1,1,1,1,1,1,1,1,1,1,1,1,1,2,4,13,22,1,2,9999,1,1,2,2,1,1,1,1,1,2,1,1,2
148205,9999,2,2,2,1,2,1,1,2,2,2,2,2,1,2,0,1,18,1,2,9999,2,2,2,2,1,2,2,1,2,2,2,1,2
148209,9999,1,2,1,1,1,1,1,2,1,2,2,2,2,2,3,9,18,4,2,9999,2,2,2,2,1,2,2,2,2,2,2,2,2
148210,888,1,2,1,1,1,1,1,1,1,1,1,2,2,1,3,11,18,1,2,9999,2,2,1,2,1,2,2,2,1,1,1,1,2
