CASEID,QUESTION,FEMTALK,AW,SAMESEX,VICSEX_C,VICAGE1,VICAGE_C,VRACE_C,SEXRCE_C,OFFSEX_C,OFFAGE1,OFFAGE_C,WOMANAGE,MANAGE,AGEDISP,OFFRAC_C,SXRAC1_C,VREL1_C,OREL1_C,HUSCPD,C1RELATE,INJYR_C,INJMNT_C,INJDTE_C,INJDAY_C,INJTM_C,DETHYR_C,DTHMON_C,DTHDTE_C,DTHTIM_C,SUICIDE,SUICISEX,DTHOF1_C,OSUCID_C,INITIATE,SEVERITY,FORCEDSX,INJURED,LEAVING,LEAVINGW,GOAWAY,INVADE,INVADER,JEALOUSY,JEALR,INFIDLTY,ALCODRUG,ALCDRGR,PREABUSE,OVERALL,OVERALL1,CAUSEF_C,NUMVIC_C,LOCTON_C,PLACE_C,PHOME,PLACE_Q,WPCAL_C,WEAPON_C,FIREARM,WEAPON_Q,WEAPDETA,CLEAR_C,NCHARGE,UCRCODE1,UCRCODE2,UCRCODE3,UCRCODE4,UCRCODE5,DSCHG1,DSCHG2,DSCHG3,DSCHG4,DSCHG5,TMCHG1,CHRGN1,CHRGN2,CHRGN3,CHRGN4,CHRGN5,TMCHG2,TMCHG3,SUMMNEW
51,1,0,1,0,2,3,27,2,5,1,3,28,27,28,1,2,1,402,401,0,  5,96, 2,21,4, 500,96, 2,21, 500,1,1,4,1,1,  10,0,0,1,1,0,0,0,0,0,0,0,0,0, 8,30,110,1,1107,1,1,1, 8, 6,0,  6,10,1,0,900,999, 999, 999,999,26,88,88,88,88,3333, 9, 1,1,1,1, 1,1, 7
52,2,0,0,0,2,5,43,1,6,1,5,43,43,43,1,1,2,704,703,0,777,96, 2,22,5,1830,96, 2,22,1830,2,0,0,0,1,   0,0,0,3,1,0,1,1,1,1,0,0,0,0, 2,20,155,2,2400,6,0,6, 3, 1,1,999, 1,5,2,110,110, 999, 999,999, 1, 1,88,88,88,8888, 7, 9,1,1,1,10,1, 1
53,1,0,1,0,1,5,43,1,2,2,5,41,41,43,1,1,6,101,102,1,  1,96, 3, 1,6, 202,96, 2, 1, 202,2,2,0,0,1,  20,0,1,0,0,0,0,0,1,1,2,0,0,0, 6,20,137,1,1101,1,1,1, 8, 6,0,  6, 1,3,0,600,999, 999, 999,999,23,88,88,88,88,3333, 5, 1,1,1,1, 1,1,17
54,1,0,1,0,2,2,22,1,6,1,4,33,22,33,5,1,2,402,401,0,  3,96, 3, 9,7,1800,96, 3, 9,1800,4,0,0,3,1,  10,0,0,0,0,0,0,0,0,0,0,4,1,0,11,40,117,1,1110,2,0,1, 8, 6,0,  6, 1,5,1,110,999, 999, 999,999, 1,88,88,88,88, 300, 7, 1,1,1,1, 1,1, 1
56,1,1,1,0,1,2,24,1,2,2,2,22,22,24,1,1,6,103,104,0,  3,96, 3,30,7,2210,96, 3,31,  11,2,2,0,0,1,  20,0,0,3,1,1,2,1,0,0,9,0,0,0, 5,30,100,1,1101,1,1,1, 8, 6,0,  6, 1,5,2,110,110, 999, 999,999,22,22,88,88,88,  10, 7,11,1,1,1, 1,1, 1
57,1,1,1,0,1,4,37,1,2,2,4,31,31,37,4,1,6,101,102,1,  1,96, 4, 5,6,1535,96, 4, 5,1535,2,2,0,0,1,  80,0,0,1,1,1,0,0,1,1,2,0,0,0, 2,20,137,1,1101,1,1,1,14, 2,1,  2, 1,5,1,130,999, 999, 999,999, 1,88,88,88,88,  40,10, 1,1,1,1, 1,1,15
58,1,1,1,0,1,6,53,1,2,2,4,35,35,53,5,1,6,401,402,0,  5,96, 4, 6,7,1114,96, 4, 6,1114,2,2,0,0,1,  70,0,0,0,0,0,0,0,0,0,0,0,0,0, 7,50,135,1,1101,1,1,2, 8, 6,0,  6, 1,5,1,130,999, 999, 999,999, 1,88,88,88,88, 100,10, 1,1,1,1, 1,1, 1
59,1,1,1,0,1,6,56,1,2,2,4,38,38,56,5,1,6,103,104,0,  5,96, 4,13,7,   5,96, 4,13,   5,2,2,0,0,1,  30,0,1,0,0,0,0,0,0,0,0,0,0,0, 1,10,110,1,1101,1,1,1, 4, 9,0, 12, 8,3,0,600,999, 999, 999,999,23,88,88,88,88,3333, 5, 1,1,1,1, 1,1,17
60,1,0,1,0,2,4,31,1,6,1,4,35,31,35,1,1,2,402,401,0,  6,96, 4,25,5,1500,96, 4,25,1500,2,0,0,0,1,  10,0,0,1,1,1,0,0,0,0,0,0,0,0, 6,20,137,1,1101,1,1,1, 8, 6,0,  6, 1,5,2,110,115, 999, 999,999, 1, 1,88,88,88, 300, 7, 8,1,1,1, 6,1, 1
61,1,0,1,0,2,4,32,1,6,1,5,48,32,48,5,1,2,402,401,0,  5,96, 5,23,5, 540,96, 5,23, 540,2,0,6,0,1,  40,0,0,0,0,0,0,0,0,0,0,0,0,1, 9,99,110,1,1107,1,1,1,29, 7,0,  7, 1,2,0,901,999, 999, 999,999,31,88,88,88,88,3333, 8, 1,1,1,1, 1,1,12
