CASEID,SEVEREST,SEVERER,TOTINC,TOTINCR,RECENT,RECENTR,RECENTRR,THREATS,THREATR,SLAPPING,SLAPR,PUNCHING,PUNCHR,BEATING,BEATR,TWEAPON,UWEAPON,FORCEDSX,FORCEDR,WEAPON,GUN,KNIFE,MISCARR,RESTRAIN,CHOKED,CHILD,NDRUNK,RDRUNK,BOTHDRUN,NDRUGS,RDRUGS,BOTHDRUG
708698, 1,1,  1,  1,345,  6,  1,  0,  0,  1,  1,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0
708699, 1,1, 10,  3,  6,  1,  0,  0,  0, 10,  3,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  9, 10,  0,  0,  0,  0,  0
708700, 1,1,  1,  1,120,  4,  0,  0,  0,  1,  1,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0
808365, 1,1,  4,  2,  3,  1,  0,  0,  0,  4,  2,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0
808366, 1,1, 36,  4,  1,  1,  0, 35,  4,  1,  1,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0, 36,  0,  0,  0,  0,  0
808367, 1,1, 16,  4, 23,  2,  0,  5,  3, 11,  4,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0
808368, 1,1,  8,  3,156,  4,  0,  0,  0,  8,  3,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  8,  0,  0,  0,  0,  0
808369, 1,1, 89,  4, 55,  3,  0, 20,  4, 69,  4,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0, 65,  0,  0,  0,  0,  0,  0
808471, 3,2,172,  4,173,  4,  0,171,  4,  0,  0,  0,  0,  1,  1,  0,  0,171,  4,  0,  0,  0,  0,  0, 99,  0,171,  0,  0,171,  0,  0
808472, 1,1, 45,  4, 10,  2,  0, 44,  4,  1,  1,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0, 43, 24,  0,  0,  0,  0,  0
808473, 3,2, 31,  4,  5,  1,  0,  5,  3,  0,  0,  0,  0, 26,  4,  0,  0,  0,  0,  0,  0,  0,  0,  0, 99, 21,  2,  0,  0,  0,  0,  0
808474, 4,2, 15,  4,  3,  1,  0,  3,  2,  6,  3,  0,  0,  2,  2,  4,  0,  0,  0,  0,  0,  0,  0,  0, 99,  1,  0,  0,  0,  0,  0,  0
808552, 4,2, 59,  4,117,  4,  0, 35,  4,  0,  0,  3,  2, 19,  4,  2,  0,  0,  0,  2,  1,  0,  0,  0, 99, 58,  0,  0,  0, 47,  0,  0
808566, 4,2, 15,  4,346,  6,  1,  4,  2,  7,  3,  2,  2,  1,  1,  1,  0,  2,  2,  1,  1,  0,  0,  3, 99,  6,  3,  0,  0,  0,  0,  0
808568, 0,1,  1,  1,360,  6,  1,  1,  1,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0
808676, 1,1,  1,  1, 65,  4,  0,  0,  0,  1,  1,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0
808677, 3,2,  2,  2, 10,  2,  0,  0,  0,  1,  1,  0,  0,  1,  1,  0,  0,  0,  0,  0,  0,  0,  0,  0, 99,  1,  0,  0,  0,  0,  0,  0
808678, 1,1,  1,  1,192,  5,  1,  0,  0,  1,  1,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0
808695, 4,2,134,  4, 20,  2,  0, 98,  4, 10,  3,  0,  0,  1,  1,  1,  0, 38,  4,  0,  0,  0,  0,  1, 99,  0,  0,  0,  0, 28,  0,  0
808696, 3,2, 63,  4,  2,  1,  0, 60,  4,  2,  2,  0,  0,  1,  1,  0,  0,  0,  0,  0,  0,  0,  0,  0, 99, 63,  0,  0,  0,  0,  0,  0
908001, 9,9,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999
908003, 9,9,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999
